query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_faithfulness,expected_response,generated_response
q_10,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,3191.8,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.0,Kansas Song,"Fight, Fight, Fight for KU"
q_11,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2361.9,20,5,True,0.5,1.0,bridge,2,f1_score,0.5,0.0,1.0,David Weissman,David Diamond
q_12,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2254.7,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,1.0,1999,1993
q_13,Are Random House Tower and 888 7th Avenue both used for real estate?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2189.3,20,5,True,0.5,1.0,comparison,2,f1_score,0.0,0.0,0.2,no,yes
q_14,The football manager who recruited David Beckham managed Manchester United during what timeframe?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,2067.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.8571,0.0,1.0,from 1986 to 2013,1986 to 2013
q_15,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2486.7,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,1.0,"9,984",65.1 million
q_16,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1778.8,20,5,True,0.0,0.0,bridge,2,f1_score,0.0022,0.0,0.1,the North Atlantic Conference,"We need to answer: ""The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?"" Use context. We have docs about Vermont Catamounts m"
q_17,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2223.6,20,5,True,1.0,1.0,comparison,2,f1_score,1.0,1.0,0.2,yes,yes
q_18,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2652.3,20,5,True,0.0,0.0,bridge,2,f1_score,0.4,0.0,0.2,1969 until 1974,1963–1969
q_19,"Which writer was from England, Henry Roth or Robert Erskine Childers?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2307.7,20,5,True,1.0,1.0,comparison,2,f1_score,0.8571,0.0,1.0,Robert Erskine Childers DSC,Robert Erskine Childers.
q_20,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821.4,20,5,True,0.0,0.0,bridge,2,f1_score,1.0,1.0,0.0,Pedro Rodríguez,Pedro Rodríguez.
q_21,This singer of A Rather Blustery Day also voiced what hedgehog?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2466.9,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,0.1,Sonic,Spike
q_22,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.8,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,0.2,keyboard function keys,An iPhone (or any iOS device) can also control Apple TV.
q_23,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2248.7,20,5,True,0.0,0.0,comparison,2,f1_score,0.0,0.0,1.0,Badly Drawn Boy,The provided context does not contain enough information about Wolf Alice’s lineup or instrumentation to determine which act has a higher instrument‑to‑person ratio.
q_24,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2892.1,20,5,True,0.5,1.0,bridge,2,f1_score,0.3077,0.0,1.0,World's Best Goalkeeper,He was voted the IFFHS World’s Best Goalkeeper in 1992.
q_25,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8316,0.8316,2049.5,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,1.0,Barton Lee Hazlewood,Lee Hazlewood.
q_26,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,0.2,1838,1968
q_27,"Are both Dictyosperma, and Huernia described as a genus?",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.6,20,5,True,0.0,0.0,comparison,2,f1_score,0.0,0.0,0.2,yes,no
q_28,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2754.1,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,1.0,Henry J. Kaiser,yes
q_29,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,1.0,Arena of Khazan,Starfaring
q_30,"When was Poison's album ""Shut Up, Make Love"" released?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2231.9,20,5,True,1.0,1.0,bridge,2,f1_score,0.5,0.0,1.0,2000,"March 14, 2000."
q_31,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2356.1,20,5,True,1.0,1.0,comparison,2,f1_score,0.6667,0.0,1.0,"Fujioka, Gunma","Japan (specifically Fujioka, Gunma)"
q_32,Which  French ace pilot and adventurer fly L'Oiseau Blanc,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2287.6,20,5,True,1.0,1.0,bridge,2,f1_score,0.5,0.0,1.0,Charles Eugène,Charles Nungesser.
q_33,Are Freakonomics and In the Realm of the Hackers both American documentaries?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.5,20,5,True,0.0,0.0,comparison,2,f1_score,0.0476,0.0,1.0,no,"No. The provided context describes Freakonomics as a public radio program (and podcast), not a documentary, and it does not mention any documentary titled “In the Realm of the Hackers.” Therefore, the"
q_34,"Which band, Letters to Cleo or Screaming Trees, had more members?",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818.0,20,5,True,0.0,0.0,comparison,2,f1_score,0.0,0.0,0.2,Letters to Cleo,Screaming Trees had more members.
q_35,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538.0,20,5,True,0.0,0.0,bridge,2,f1_score,0.5,0.0,0.2,October 1922,"yes  
1922"
q_36,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2593.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.1,2000,2000
q_37,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2775.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,1.0,World War II,World War II.
q_38,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.5,20,5,True,0.0,0.0,comparison,2,f1_score,1.0,1.0,0.0,no,no
q_39,Ralph Hefferline was a psychology professor at a university that is located in what city?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,3922.8,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,0.0,New York City,New York City
q_40,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2200.2,20,5,True,0.5,1.0,comparison,2,f1_score,1.0,1.0,0.2,Scotch Collie,Scotch Collie
q_41,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2681.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,1.0,Mumbai,"Mumbai, Maharashtra."
q_42,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2463.0,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,0.0,1962,1969
q_43,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2587.8,20,5,True,0.5,1.0,bridge,2,f1_score,0.125,0.0,1.0,sovereignty,"It secured Ethiopia’s **independence and sovereignty**, ensuring the nation remained free from Italian colonial rule."
q_44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2549.2,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,1.0,Nelson Rockefeller,Gerald Ford
q_45,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,2470.1,20,5,True,0.5,1.0,bridge,2,f1_score,0.6667,0.0,0.2,Yellowcraig,"yes
Yellowcraig"
q_46,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2294.1,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,1.0,Phil Spector,Dickey Betts
q_47,What type of forum did a former Soviet statesman initiate?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2049.2,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,1.0,Organizations could come together to address global issues,summit
q_48,Are Ferocactus and Silene both types of plant?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,1872.4,20,5,True,0.5,1.0,comparison,2,f1_score,1.0,1.0,0.1,yes,yes
q_49,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3066,0.3066,0.3066,0.3066,2049.7,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,English Electric Canberra,English Electric Canberra
q_50,Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,completed,0.1429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.2044,0.2044,2315.6,20,5,True,0.5,1.0,bridge,2,f1_score,0.8889,0.0,1.0,2009 Big 12 Conference,"yes  
2009 – Big 12 Conference."
q_51,In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2752.0,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.0,"1,462","1,200"
q_52,What race track in the midwest hosts a 500 mile race eavery May?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.8,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,Indianapolis Motor Speedway,Indianapolis Motor Speedway.
q_53,"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3066,0.3066,0.3066,0.3066,2212.1,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,1.0,Rome,New York City
q_54,"Ellie Goulding worked with what other writers on her third studio album, Delirium?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2665.9,20,5,True,1.0,1.0,bridge,2,f1_score,0.9333,0.0,1.0,"Max Martin, Savan Kotecha and Ilya Salmanzadeh","yes  
Max Martin, Savan Kotecha, and Ilya Salmanzadeh."
q_55,Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3362.6,20,5,True,1.0,1.0,bridge,2,f1_score,0.5,0.0,1.0,"Marion, South Australia",Marion
q_56,D1NZ is a series based on what oversteering technique?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2022.3,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,Drifting,drifting
q_57,who is younger Keith Bostic or Jerry Glanville ?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2052.6,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,0.1,Keith Bostic,Keith Bostic is younger.
q_58,"According to the 2001 census, what was the population of the city in which Kirton End is located?",completed,0.0909,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.171,2322.7,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,"35,124","35,124"
q_59,Are both Cypress and Ajuga genera?,completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3066,0.3066,0.3066,0.3066,1988.1,20,5,True,0.5,1.0,comparison,2,f1_score,0.0,0.0,1.0,no,yes
q_60,What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,1979.9,20,5,True,0.5,1.0,bridge,2,f1_score,0.1935,0.0,0.0,shortest player ever to play in the National Basketball Association,"He is the only former NBA player to have served as head coach of a WNBA team – specifically, the Charlotte Sting."
q_61,What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194.0,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,0.2,Ronald Shusett,Gordon G. Carroll
q_62,"Who was born earlier, Emma Bull or Virginia Woolf?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2006.9,20,5,True,0.5,1.0,comparison,2,f1_score,0.5,0.0,0.1,Adeline Virginia Woolf,Virginia Woolf was born earlier.
q_63,What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2272.0,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,1.0,821,"The provided documents do not list a Roud Folk Song Index number for the nursery rhyme “What Are Little Boys Made Of,” which inspired the episode."
q_64,Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4020.7,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,0.0,more than 70 countries,20
q_65,What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2008.4,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,Charmed,Charmed
q_66,Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,2416.7,20,5,True,0.5,1.0,bridge,2,f1_score,1.0,1.0,1.0,International Boxing Hall of Fame,International Boxing Hall of Fame
q_67,"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497.9,20,5,True,0.0,0.0,bridge,2,f1_score,0.0,0.0,1.0,Usher,Madonna
q_68,who is the younger brother of The episode guest stars of The Hard Easy ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2989.3,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,1.0,Bill Murray,Joe Estevez
q_69,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.4,20,5,True,0.0,0.0,bridge,2,f1_score,1.0,1.0,1.0,Carabao Cup,Carabao Cup
q_70,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199.2,20,5,True,0.0,0.0,bridge,2,f1_score,0.8,0.0,1.0,Teen Titans Go!,Teen Titans
q_71,What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,completed,0.1429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.2044,0.2044,2694.1,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.2,"276,170 inhabitants",A native of that city is called a **Strasbourgeois**.
q_72,What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2788.4,20,5,True,0.5,1.0,bridge,2,f1_score,0.6667,0.0,1.0,orange,orange clothing
q_73,"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",completed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.2641,0.2641,0.2641,2199.8,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,1.0,Tromeo and Juliet,No such 1996 adaptation written by James Gunn is mentioned in the provided context.
q_74,Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7742,2506.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.4,0.0,1.0,William Jefferson Clinton,Bill Clinton.
q_75,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,completed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221.6,20,5,True,0.0,0.0,bridge,2,f1_score,1.0,1.0,0.1,John John Florence,John John Florence.
q_76,What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,2312.4,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,1.0,Ann,I don't know.
q_77,Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2755.7,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,1.0,Apalachees,Ais
q_78,What nationality were social anthropologists Alfred Gell and Edmund Leach?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,2709.7,20,5,True,0.5,1.0,bridge,2,f1_score,0.2222,0.0,0.5,British,Both Alfred Gell and Edmund Leach were British.
